ISBN,Title,Author,Genre,Language,Publication_Year,Total_Copies,Available_Copies,Publisher,Book_Condition
978-2120547090,Multi-channeled zero-defect attitude,Scott Wallace,Science,Japanese,1913,33,29.0,Simon & Schuster,Good
978-4559740277,Organic logistical orchestration,Deanna Velasquez,Biography,Spanish,1935,34,33.0,HarperCollins,Damaged
978-4853997092,Front-line solution-oriented Local Area Network,Johnny Buck,Science,Spanish,1961,11,,Penguin,Worn
978-7558515712,Horizontal intermediate extranet,Brandon Potter,Biography,English,1925,37,37.0,Penguin,Damaged
978-9013539829,Virtual responsive support,Kellie Warren,Science,French,1913,18,14.0,HarperCollins,Worn
978-8924397426,Self-enabling foreground data-warehouse,Andrea Hernandez,History,French,1909,15,13.0,Random House,Worn
978-3560844064,Organic explicit system engine,Sharon Davis,Biography,German,1942,48,45.0,Macmillan,Good
978-3499849498,Cloned static portal,Michael Rogers,Science,Japanese,1903,46,45.0,Simon & Schuster,New
978-6940512521,Ameliorated transitional attitude,Jessica Nelson,Fiction,Spanish,1906,6,6.0,Random House,Good
978-5180632587,Compatible bifurcated utilization,Emma Reyes,Biography,Spanish,2014,31,28.0,Penguin,Worn
978-9834426605,Innovative intangible algorithm,James Williamson,Non-fiction,German,1979,32,32.0,HarperCollins,Worn
978-3657678676,Re-contextualized static info-mediaries,Christopher Howard,Science,Spanish,1996,48,48.0,Simon & Schuster,New
978-8246798543,Public-key directional monitoring,Tamara Diaz,History,Spanish,1936,20,17.0,HarperCollins,New
978-8790610972,Multi-lateral multi-state methodology,Ashley Barker,Fiction,Japanese,1931,34,31.0,Simon & Schuster,New
978-3686236283,Cross-platform didactic data-warehouse,Anthony Norris,Biography,German,1935,13,13.0,Random House,Good
978-7111941661,Synergized interactive protocol,Richard Wilkerson,Biography,English,1948,43,43.0,HarperCollins,Good
978-3276368652,Networked 4thgeneration support,Michael Maxwell,Non-fiction,German,1905,8,5.0,Penguin,Damaged
978-3237518527,Reverse-engineered content-based model,James Green,Fiction,Spanish,2017,25,23.0,Simon & Schuster,New
978-7261111386,Cross-group fault-tolerant Graphic Interface,Joyce Walker,History,English,1944,35,34.0,Macmillan,Worn
978-1529835581,Triple-buffered composite knowledge user,Adriana Love,Science,Spanish,1932,23,,HarperCollins,Good
978-4513357200,Future-proofed radical architecture,Scott Perez DDS,Fiction,Japanese,1965,42,39.0,Random House,Damaged
978-4953298215,Fundamental 24hour success,Lauren Odonnell,Fiction,German,1924,29,27.0,Macmillan,New
978-3931992274,Adaptive static data-warehouse,Todd Schroeder,Biography,Japanese,2002,26,24.0,Macmillan,New
978-6681245389,Horizontal solution-oriented core,Patrick Robinson,History,Japanese,1946,8,8.0,Macmillan,New
978-6352301516,Automated 4thgeneration knowledge user,Robert Williams,Science,German,1944,33,32.0,Simon & Schuster,Worn
978-7425662270,User-centric analyzing architecture,Hailey Gomez,Biography,German,1919,13,12.0,Penguin,New
978-8257283131,Synergized system-worthy analyzer,Thomas Wilson,History,German,1911,20,18.0,Penguin,Damaged
978-3225704796,Focused zero administration support,Loretta Garcia,Science,Japanese,2015,18,16.0,HarperCollins,Worn
978-4956875924,Programmable empowering frame,Brittany Lawrence,Biography,French,2013,49,,Simon & Schuster,Good
978-5651895061,Enhanced background process improvement,Brooke Robinson,Non-fiction,Japanese,1980,31,30.0,Random House,Good
978-8561862408,Visionary motivating challenge,Kristen Trujillo,History,German,2017,26,25.0,Macmillan,Worn
978-2516240348,Business-focused regional parallelism,Christopher Gomez,Non-fiction,French,1991,16,16.0,HarperCollins,New
978-8077411212,Robust 5thgeneration Graphic Interface,Jessica Roberts,History,Japanese,1901,45,43.0,Random House,Good
978-4862074198,Networked motivating analyzer,Mr. Christopher Potter,Biography,Spanish,1944,32,32.0,Simon & Schuster,Damaged
978-8614847510,Seamless responsive info-mediaries,Jacob Jones,Fiction,Spanish,2012,40,39.0,Random House,New
978-4664392135,Monitored systemic synergy,Lisa Turner,Non-fiction,Spanish,1901,6,4.0,Penguin,Damaged
978-2190468501,Reverse-engineered demand-driven framework,Amanda Thompson,Non-fiction,German,2019,30,28.0,Penguin,Good
978-9781730112,Customizable optimizing capability,Dwayne Blackwell,Science,German,1966,45,42.0,Random House,Good
978-7020064572,Triple-buffered next generation benchmark,Cynthia Gomez,Biography,French,2008,34,33.0,HarperCollins,Worn
978-5847973794,Re-engineered analyzing open system,Stacy Bonilla,Non-fiction,French,1917,19,18.0,Macmillan,Worn
978-2158599041,Team-oriented 3rdgeneration ability,Kelly Garcia,Biography,French,1906,6,4.0,Simon & Schuster,Damaged
978-6227969344,Focused 24/7 core,Thomas White,Non-fiction,Spanish,1956,13,12.0,Random House,New
978-2377319867,Visionary client-driven projection,David Harper,Fiction,Spanish,1934,34,30.0,Macmillan,Worn
978-7106525073,Versatile explicit open architecture,Rhonda Smith,History,French,1917,39,37.0,Penguin,Damaged
978-2313289357,Multi-tiered homogeneous database,Jeffrey Sweeney,Biography,German,1913,38,36.0,Random House,New
978-7820469017,Synchronized logistical product,Dale Clark,Science,German,1933,35,31.0,Penguin,New
978-6025079699,Synchronized holistic hub,Teresa Howell,History,German,1904,6,4.0,HarperCollins,New
978-5504475729,Multi-layered object-oriented data-warehouse,Megan Rodriguez,Fiction,Japanese,1906,6,3.0,Macmillan,Good
978-1380795696,Ergonomic attitude-oriented productivity,Brandon Young,Fiction,German,1909,23,21.0,Macmillan,Good
978-8397677555,Configurable interactive synergy,Grant Garner,Biography,French,2009,20,17.0,Simon & Schuster,Worn
978-9427769374,User-centric explicit intranet,Ashley Brown,Biography,English,1902,16,16.0,Simon & Schuster,Damaged
978-1471389323,Focused static focus group,Perry Anderson,History,Spanish,1937,10,7.0,Macmillan,Damaged
978-5835440291,Adaptive optimal complexity,Brittany Alvarez,Science,French,1996,25,,Simon & Schuster,Good
978-3052344457,Re-engineered 4thgeneration framework,Ashley Vance,Science,French,1984,33,30.0,Macmillan,New
978-4626582336,User-centric heuristic frame,Steven Branch,Non-fiction,English,2017,41,39.0,Random House,Good
978-9751880195,Digitized maximized encoding,Charles Sullivan,History,Spanish,2020,49,45.0,Random House,New
978-5485337378,Object-based static data-warehouse,Karina Davis,Non-fiction,French,2016,49,45.0,Penguin,Good
978-4640997229,Open-architected non-volatile strategy,Dustin Robbins,Biography,German,1940,24,,Penguin,Worn
978-8225071911,Right-sized well-modulated website,Valerie Thomas,Science,Japanese,1986,11,10.0,Simon & Schuster,Damaged
978-1775953375,Horizontal upward-trending circuit,Michael Johnson,Science,English,2009,42,41.0,Random House,Damaged
978-9432240475,Enterprise-wide background matrices,Thomas Miller,Non-fiction,German,1996,27,25.0,Simon & Schuster,Good
978-6664986342,Centralized cohesive complexity,Jennifer Robinson,Non-fiction,English,1947,32,32.0,Random House,Good
978-8211127348,Profound tangible focus group,Jason Callahan,Non-fiction,French,1968,15,13.0,Random House,Damaged
978-5102049706,Intuitive maximized definition,Andrea Smith,Fiction,Spanish,1963,27,25.0,Random House,Worn
978-4462248068,Cross-group upward-trending system engine,Sandra Lopez,History,English,1941,32,28.0,Macmillan,New
978-4146438385,User-friendly static budgetary management,Kimberly Butler,Science,German,2009,22,19.0,Random House,Good
978-9641444015,Upgradable transitional interface,Stephanie Jimenez,Non-fiction,English,2009,41,39.0,Random House,New
978-4139989100,Open-architected regional contingency,Laurie Hernandez,Fiction,Spanish,1929,33,31.0,Simon & Schuster,Damaged
978-8195608948,Total dedicated matrices,Joshua Wood,Biography,French,1977,47,45.0,Random House,Good
978-8487318049,User-centric well-modulated paradigm,Michael King,Fiction,English,1909,17,13.0,Macmillan,New
978-5585507646,Reactive well-modulated neural-net,Tammy Marquez,Non-fiction,German,1963,5,1.0,Penguin,New
978-6536434741,Organized leadingedge access,Ryan Reynolds,Science,German,2010,49,,Penguin,Damaged
978-1776444366,Streamlined value-added hardware,Laura Mcclain,History,English,1962,9,9.0,Simon & Schuster,Good
978-3197311071,Face-to-face bandwidth-monitored encoding,Michael Reeves,History,Japanese,1976,36,32.0,Simon & Schuster,New
978-6037339175,Decentralized even-keeled software,Joseph Johnson,Science,French,1984,44,,HarperCollins,New
978-6750268504,Right-sized context-sensitive Graphic Interface,Lisa Hernandez,Non-fiction,German,1946,24,24.0,Penguin,Good
978-7988539188,Enterprise-wide uniform alliance,Jason Melton,Biography,German,1980,11,10.0,Random House,Damaged
978-9388205916,Seamless exuding implementation,Jonathan Harrell,Non-fiction,German,1911,25,24.0,Macmillan,Worn
978-4131184628,Inverse tertiary installation,Daniel Bruce,Science,Japanese,1958,19,15.0,Penguin,Good
978-4039689135,Reduced coherent help-desk,Thomas Cross,Non-fiction,German,1922,37,35.0,HarperCollins,Good
978-5152247227,Programmable even-keeled throughput,Jenny Vincent,History,German,1951,8,4.0,Penguin,Damaged
978-7168666284,Balanced background artificial intelligence,Aaron Mack,Fiction,Japanese,1913,46,44.0,HarperCollins,New
978-8122895283,Triple-buffered tangible infrastructure,Jessica Smith,Biography,English,1934,41,,Random House,Damaged
978-1238707146,Multi-tiered fault-tolerant knowledge user,Phillip Smith,History,English,1969,15,12.0,HarperCollins,Good
978-2735050141,Face-to-face transitional frame,Melissa Davis,Fiction,Spanish,1944,14,12.0,Penguin,Good
978-9981647209,Digitized upward-trending knowledge user,Nancy Coleman,History,Spanish,1955,36,34.0,Penguin,New
978-4267866967,Open-architected 24/7 matrix,Jacob Park,Non-fiction,English,1908,38,36.0,HarperCollins,Good
978-1922251605,Expanded multi-tasking budgetary management,Randall Kelly,Non-fiction,English,1944,24,21.0,HarperCollins,Damaged
978-3725684533,Open-architected leadingedge workforce,Jeremy Cook,Non-fiction,English,2009,38,35.0,Penguin,Good
978-1290457551,Triple-buffered bottom-line implementation,Brittany Simon,Science,Spanish,2009,44,43.0,Simon & Schuster,Good
978-8400809376,Reverse-engineered composite access,Adam Osborne,Biography,French,1910,19,,Simon & Schuster,Worn
978-4667808469,Reactive homogeneous parallelism,Christopher Anthony,Biography,Japanese,1983,11,9.0,Random House,Damaged
978-6559785805,Public-key non-volatile service-desk,Rita Osborne,Fiction,German,1945,48,48.0,HarperCollins,Good
978-6694914862,Self-enabling optimal open system,Joshua Tate DDS,Science,English,2022,38,35.0,Random House,Worn
978-9049410722,Face-to-face dedicated productivity,Kayla Bowman,Biography,English,1927,27,24.0,Penguin,Worn
978-8824044454,Extended zero administration conglomeration,Justin Colon,Biography,German,2021,43,40.0,HarperCollins,Good
978-2597556460,Triple-buffered logistical moderator,Thomas Nolan,Fiction,English,1990,7,7.0,Macmillan,New
978-8606611138,Total systematic strategy,Matthew Parsons,Biography,Japanese,1962,10,6.0,Macmillan,Good
978-4692434592,Robust holistic customer loyalty,Christopher Mckee,Non-fiction,Spanish,1930,30,30.0,Macmillan,Good
978-8203481217,Down-sized encompassing policy,George Lopez,Fiction,Spanish,1996,45,42.0,Simon & Schuster,Worn
978-7925252711,Proactive holistic benchmark,Richard Mendez,Biography,German,1935,42,41.0,HarperCollins,Worn
978-8676690483,Multi-lateral real-time capacity,Matthew Reeves,History,German,1936,39,39.0,Random House,Good
978-7812039612,Enhanced neutral functionalities,Maria Rivera,Science,French,2018,10,7.0,Penguin,Good
978-4235245012,Operative needs-based frame,Jennifer Hartman,Biography,English,1958,46,42.0,Random House,New
978-5720071218,Versatile analyzing application,Justin Johnson,History,Spanish,1983,5,1.0,HarperCollins,Worn
978-8125716112,Optimized didactic solution,Deborah Riggs,History,Japanese,1933,15,,HarperCollins,New
978-8078490812,Future-proofed neutral system engine,Brian Robles III,Science,French,2021,24,20.0,HarperCollins,Worn
978-7356930234,Integrated content-based workforce,Russell Willis,History,Japanese,1913,17,13.0,Simon & Schuster,New
978-8946222846,User-friendly secondary flexibility,David Parker,Fiction,Japanese,1914,18,16.0,Macmillan,Good
978-5118018195,Digitized 3rdgeneration contingency,Spencer Vaughan,Non-fiction,French,2022,12,11.0,Macmillan,New
978-3020657950,Secured incremental paradigm,Charles Garcia,History,German,1975,35,33.0,Simon & Schuster,Damaged
978-7670180509,Switchable 5thgeneration interface,Robert Ruiz,Fiction,Spanish,1923,25,25.0,Macmillan,Damaged
978-2161321165,Visionary asymmetric installation,Kim Burke,Non-fiction,English,1959,37,34.0,Simon & Schuster,Worn
978-4100548384,Synergistic impactful forecast,Dr. Destiny Crawford,Non-fiction,Japanese,2020,14,11.0,Simon & Schuster,Damaged
978-6534023459,Profound intangible ability,Steven Johnson,History,Spanish,1967,48,47.0,HarperCollins,Good
978-2888561100,Customer-focused empowering core,Gregory Mitchell,Fiction,German,1908,40,40.0,Random House,Worn
978-8501500121,Up-sized object-oriented array,Lori Garza,Biography,English,1948,15,15.0,HarperCollins,Damaged
978-1549053918,Face-to-face high-level projection,Felicia Rodriguez,Fiction,German,2006,45,,Simon & Schuster,Worn
978-5591506261,Vision-oriented asynchronous migration,Tiffany Rodriguez,Biography,Japanese,1983,35,35.0,Random House,Worn
978-1253603383,Front-line non-volatile installation,Alejandra Hicks,History,Spanish,1946,7,,Random House,Damaged
978-7634483680,Cloned regional projection,David Booth,Non-fiction,French,1908,13,10.0,Penguin,New
978-7310174298,Expanded responsive knowledge user,Chad Hodge,Non-fiction,Japanese,1979,23,,Random House,Worn
978-7926365513,Business-focused systemic collaboration,Amy Lewis,Fiction,English,1912,48,47.0,Penguin,New
978-9665266340,Versatile hybrid Graphical User Interface,Savannah Rios,Fiction,Spanish,2012,21,18.0,Simon & Schuster,Worn
978-4376386493,Organized high-level software,Holly Torres,History,Japanese,1908,42,,Random House,New
978-1575876465,Object-based hybrid Local Area Network,Brandon Mccann,Science,German,1967,33,32.0,Penguin,Damaged
978-7785969307,Reduced logistical Local Area Network,Ashley Davis,History,Spanish,1946,28,28.0,Penguin,Worn
978-4469934808,Optional full-range interface,Paul Bates,Biography,French,1907,42,38.0,Macmillan,Good
978-6994424553,Multi-layered human-resource synergy,Kathryn Zimmerman,Non-fiction,German,1941,12,11.0,HarperCollins,Damaged
978-3608562196,Reactive didactic toolset,Sydney Klein,History,German,1976,24,24.0,Macmillan,Worn
978-3289730354,Streamlined disintermediate budgetary management,Kayla Howard,Science,Japanese,1944,43,42.0,Penguin,Worn
978-3768510905,Programmable maximized process improvement,Justin Macias,Non-fiction,Japanese,1994,38,37.0,Penguin,New
978-3131553852,Managed intangible info-mediaries,Shawn Porter,Biography,French,1970,32,,HarperCollins,Good
978-9675821804,Virtual foreground policy,James Smith,Science,Spanish,1963,39,38.0,Random House,Worn
978-9832648353,Pre-emptive object-oriented customer loyalty,Alicia Daniels,Biography,English,1952,21,19.0,Random House,New
978-8480542282,Triple-buffered homogeneous implementation,Ashley Taylor,Non-fiction,Spanish,1925,34,33.0,Simon & Schuster,Worn
978-1422269668,Polarized holistic circuit,Brianna Berg,Biography,English,1909,18,17.0,HarperCollins,Good
978-1710504835,Inverse optimizing function,Samantha Hess,Non-fiction,English,1927,7,7.0,Random House,New
978-6948693495,Decentralized foreground parallelism,Kaitlyn Woods,History,French,2001,43,39.0,HarperCollins,Worn
978-4729784159,Visionary motivating open architecture,Micheal Conrad,Fiction,German,1900,35,35.0,Penguin,Damaged
978-9869568792,Extended radical Local Area Network,William Cardenas Jr.,Science,German,1921,33,31.0,Random House,New
978-3797223122,Right-sized didactic concept,Jennifer Jackson,Biography,French,1942,42,,HarperCollins,Damaged
978-7778395673,Front-line tangible hardware,Joel Blake,Science,English,1971,36,33.0,Simon & Schuster,New
978-1853836159,Grass-roots bifurcated instruction set,Nicole Johnson,Fiction,German,1962,42,38.0,Penguin,Worn
978-4409593016,Robust cohesive matrices,Kimberly Cooper,Non-fiction,German,1988,15,13.0,Simon & Schuster,Damaged
978-7668382477,Triple-buffered radical infrastructure,Heather Wagner,Science,Japanese,1974,26,,Macmillan,Good
978-7385868647,Horizontal maximized pricing structure,Sandra Dunn,History,Spanish,1975,7,3.0,Random House,Damaged
978-7518864333,Decentralized local contingency,Leonard Joseph,Fiction,French,1999,36,,Simon & Schuster,Worn
978-8144300213,Optional non-volatile Graphical User Interface,Jonathan Weaver,Biography,French,1933,8,4.0,HarperCollins,Damaged
978-3663660681,Open-source system-worthy policy,Steven Cardenas,Fiction,English,1927,7,4.0,Penguin,Good
978-9144353106,Business-focused maximized capability,Carrie Kelly,Non-fiction,Spanish,1941,21,20.0,Simon & Schuster,Damaged
978-1924106428,Secured user-facing moderator,Matthew Smith,History,Japanese,2022,20,19.0,HarperCollins,Worn
978-2934227505,De-engineered composite moratorium,Crystal Lopez,Biography,English,1903,11,11.0,HarperCollins,Worn
978-8863104733,Optional composite conglomeration,John Thomas,Non-fiction,English,2009,49,49.0,Simon & Schuster,Good
978-6952160966,Cloned mobile matrix,Misty Ward,Non-fiction,English,1915,11,,Random House,Worn
978-4141768227,Intuitive zero-defect neural-net,William Thompson,Biography,French,1960,21,18.0,Macmillan,New
978-1003374148,Synergistic interactive structure,Dr. Phillip Baird,Science,French,1914,46,45.0,HarperCollins,New
978-9073766184,Reduced directional parallelism,Rodney Grant,Non-fiction,French,1918,21,19.0,Random House,Damaged
978-7005428586,Focused system-worthy open architecture,Benjamin Manning,Biography,Spanish,1939,46,44.0,Penguin,New
978-3287895022,Team-oriented mobile info-mediaries,Mary Church,Science,English,2017,19,15.0,Random House,Good
978-9415532737,Business-focused background customer loyalty,Matthew Lambert,Biography,English,1981,36,,Penguin,Damaged
978-1005812731,Up-sized empowering service-desk,Brooke Stephens,Non-fiction,French,1939,24,22.0,HarperCollins,New
978-4725450236,Cross-group web-enabled collaboration,Lisa Walker,Fiction,Japanese,1942,23,20.0,Random House,Good
978-6622902735,Open-architected uniform migration,Sarah Peters,Biography,Japanese,2004,13,10.0,Random House,Damaged
978-7549179112,Programmable impactful conglomeration,Alexander Lee,Biography,French,1971,25,,Macmillan,Damaged
978-8864480719,Inverse methodical synergy,Steven Montgomery,History,German,1976,43,43.0,Random House,Damaged
978-6142134163,Customizable leadingedge access,Jonathan Martin,Non-fiction,Spanish,1925,7,3.0,Macmillan,Good
978-8362226245,Open-architected bandwidth-monitored artificial intelligence,Christopher Nichols,Science,Spanish,1936,7,,Macmillan,New
978-3015774747,Self-enabling executive Internet solution,James Mitchell,Fiction,German,1974,16,,Random House,Worn
978-7703983178,Re-contextualized composite installation,Dawn Li,Fiction,French,2012,14,10.0,HarperCollins,New
978-8529543358,Monitored systematic leverage,Peter Bowman,Biography,Japanese,1909,38,34.0,Macmillan,Good
978-2877771464,Function-based client-driven benchmark,Steven Rodriguez,Biography,German,2014,17,16.0,Macmillan,Good
978-1964546972,Adaptive asymmetric Internet solution,Patrick Dillon,Science,Spanish,1905,16,,Penguin,Good
978-2923522017,Right-sized scalable moderator,William Jones,History,Japanese,1985,26,23.0,Simon & Schuster,Damaged
978-9040421999,Cross-group bottom-line firmware,Ashley Carter,Fiction,Japanese,1907,5,1.0,HarperCollins,New
978-2904665930,Future-proofed bandwidth-monitored attitude,Mrs. Cynthia Welch MD,History,Spanish,1935,43,43.0,Macmillan,Worn
978-4146951149,Grass-roots well-modulated array,Carmen Smith,History,English,1925,20,16.0,Macmillan,Worn
978-1705315241,Organized human-resource utilization,Sheila Owens,Non-fiction,English,2009,16,15.0,Macmillan,New
978-2323699681,Re-engineered uniform array,Kelly Williams,Fiction,French,1927,36,32.0,Simon & Schuster,New
978-2920570869,Proactive systemic policy,Keith Shepard,History,Spanish,1913,18,,Macmillan,Damaged
978-9578754245,Reduced directional implementation,Lori Smith,History,Japanese,1971,26,25.0,Penguin,Worn
978-9393447920,Multi-channeled tangible hub,Joseph Allen,Fiction,French,1967,45,45.0,Random House,Good
978-9094005892,Reverse-engineered web-enabled framework,Erin Ellis,Biography,German,1958,20,17.0,Penguin,Good
978-9063578877,Persevering high-level framework,Curtis Erickson DDS,Biography,German,2019,48,44.0,Simon & Schuster,Damaged
978-2204520862,Innovative human-resource algorithm,Shannon Young,Fiction,Spanish,2005,48,44.0,Penguin,Good
978-2918777585,Mandatory tertiary orchestration,Lisa Jones,Fiction,English,1971,35,35.0,HarperCollins,Damaged
978-3831072337,Triple-buffered composite knowledge user,David Reed,Fiction,French,2003,36,35.0,HarperCollins,Worn
978-4014245056,Robust static archive,Brett Harmon,Science,Spanish,2016,33,30.0,HarperCollins,Damaged
978-6632610609,Open-architected 5thgeneration groupware,Cheryl Adams,Fiction,Japanese,2018,13,10.0,Macmillan,Damaged
978-1217059918,Digitized bottom-line framework,Lindsey Howe,Science,Japanese,1997,16,13.0,Macmillan,Good
978-8176064748,Multi-tiered bottom-line throughput,William Mitchell,Science,French,1949,21,19.0,HarperCollins,New
978-2012149981,Future-proofed 4thgeneration success,Amber Brown,History,Spanish,1920,21,20.0,HarperCollins,Good
978-3561645870,Mandatory system-worthy pricing structure,Olivia Hanson,Science,English,2015,14,10.0,Random House,Good
978-2639905415,Optional interactive Local Area Network,William Wilson,Fiction,Japanese,1934,30,26.0,Penguin,New
978-7563475995,De-engineered mobile database,Jeffrey Williams,History,French,1930,35,33.0,Random House,Damaged
978-5379552856,Organized uniform orchestration,Jessica Holmes,History,German,1922,35,33.0,HarperCollins,New
978-6605424894,Versatile interactive algorithm,Ryan Lynch,Biography,French,2013,9,,Random House,Good
978-7581443843,Open-architected national contingency,Evan Hughes,Non-fiction,Spanish,2015,20,17.0,HarperCollins,Good
978-4443941619,Team-oriented analyzing system engine,Anthony Kemp,Biography,English,1907,47,,Random House,Worn
978-4367042791,User-centric 3rdgeneration help-desk,Christine Coffey,History,English,2022,36,33.0,Simon & Schuster,New
978-6876352851,Integrated human-resource emulation,Courtney Wiggins,Non-fiction,French,1972,37,33.0,Macmillan,Damaged
978-6461106770,Persevering intangible ability,Trevor White,Non-fiction,Spanish,1912,11,10.0,Penguin,Good
978-8302107491,Persevering maximized approach,William Martinez,Non-fiction,Japanese,2018,25,,HarperCollins,New
